name,artist,year,bpm,energy,dance,dB,liveness,valence,duration,acousticness,speechiness ,pop,genre,mood
First Class,Jack Harlow,2022,107,58,90,-6,11,33,174,11,11,83,"deep underground hip hop, kentucky hip hop, pop rap, rap",Angry
Gasolina,Daddy Yankee,2004,96,80,85,-7,8,74,193,32,6,83,"latin hip hop, reggaeton, trap latino, urbano latino",Happy
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,2013,116,81,79,-9,10,86,248,4,4,83,"electro, filter house, rock",Happy
Heartbreak Anniversary,Giveon,2020,89,47,45,-9,30,54,198,52,8,83,r&b,Calm
Hey Ya!,Outkast,2003,80,97,73,-2,17,97,235,10,7,83,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",Happy
I Gotta Feeling,Black Eyed Peas,2009,128,77,74,-6,51,61,289,9,3,83,"dance pop, pop, pop rap",Happy
I Like Me Better,Lauv,2018,92,51,75,-8,10,42,197,53,26,83,pop,Angry
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021,150,70,74,-7,5,89,212,2,6,83,lgbtq+ hip hop,Happy
Just Give Me a Reason (feat. Nate Ruess),P!nk,2012,95,55,78,-7,13,44,243,35,5,83,"dance pop, pop",Angry
Leave The Door Open,Bruno Mars,2021,148,62,59,-8,9,72,242,18,3,83,"dance pop, pop",Happy
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,2021,170,70,64,-6,9,14,207,9,8,83,"pop reggaeton, reggaeton, trap latino, urbano latino",Angry
Lose You To Love Me,Selena Gomez,2020,103,34,49,-9,21,10,206,56,4,83,"pop, post teen pop",Sad
Love You Like A Love Song,Selena Gomez & The Scene,2011,117,68,86,-4,7,92,188,8,5,83,pop,Happy
Mask Off,Future,2017,150,43,83,-9,17,28,205,1,43,83,"atl hip hop, hip hop, rap, southern hip hop, trap",Sad
MIDDLE CHILD,J. Cole,2019,124,36,84,-12,27,46,214,15,28,83,"conscious hip hop, hip hop, north carolina hip hop, rap",Sad
Moth To A Flame (with The Weeknd),house,2021,120,66,55,-7,11,11,234,0,4,83,"edm, pop dance, progressive electro house",Angry
Ms. Jackson,Outkast,2000,95,81,84,-6,8,61,271,14,27,83,"atl hip hop, dirty south rap, hip hop, old school atlanta hip hop, rap, southern hip hop",Happy
No Lie,Sean Paul,2018,102,88,74,-3,21,46,221,5,12,83,"dance pop, dancehall, pop, pop rap",Angry
Party In The U.S.A.,Miley Cyrus,2009,96,70,65,-5,9,47,202,0,4,83,pop,Angry
Rolling in the Deep,Adele,2011,105,77,73,-5,5,51,228,14,3,83,"british soul, pop, pop soul, uk pop",Happy
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2021,118,83,65,-5,9,59,191,2,3,83,"canadian contemporary r&b, canadian pop, pop",Happy
Sex on Fire,Kings of Leon,2008,153,91,54,-6,14,37,203,0,5,83,"modern rock, rock",Angry
Smack That,Akon,2006,119,74,94,-5,11,92,212,32,5,83,dance pop,Happy
Someone Like You,Adele,2011,135,32,56,-8,10,29,285,89,3,83,"british soul, pop, pop soul, uk pop",Sad
Sorry,Justin Bieber,2015,100,76,65,-4,30,41,201,8,5,83,"canadian pop, pop",Angry
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2011,90,80,65,-3,27,80,211,3,10,83,"dance pop, pop rap",Happy
Streets,Doja Cat,2019,90,46,75,-8,34,19,227,21,8,83,"dance pop, pop",Sad
Sugar,Maroon 5,2014,120,79,75,-7,9,88,235,6,3,83,pop,Happy
"thank u, next",Ariana Grande,2019,107,65,72,-6,10,41,207,23,7,83,pop,Angry
The Middle,Jimmy Eat World,2001,162,85,64,-5,6,90,166,4,5,83,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post grunge, punk, rock",Happy
The Reason,Hoobastank,2003,83,67,47,-5,16,7,233,1,3,83,"alternative metal, funk metal, nu metal, pop rock, post grunge",Angry
The Way I Are,Timbaland,2007,115,81,73,-6,32,77,179,18,10,83,"dance pop, pop, pop rap",Happy
TiK ToK,Kesha,2010,120,84,76,-3,29,71,200,10,14,83,"dance pop, pop",Happy
Timber (feat. Ke$ha),Pitbull,2012,130,96,58,-4,14,79,204,3,10,83,"dance pop, miami hip hop, pop",Happy
Whenever Wherever,Shakira,2001,108,83,79,-5,20,87,196,24,4,83,"colombian pop, dance pop, latin pop, pop",Happy
Yes Indeed,Lil Baby,2018,120,35,96,-9,11,56,142,4,53,83,"atl hip hop, atl trap, rap, trap",Calm
You Right,Doja Cat,2021,129,62,83,-6,8,44,186,2,6,83,"dance pop, pop",Angry
A Thousand Years,Christina Perri,2011,139,41,42,-7,11,16,285,31,3,82,pop,Sad
All I Want,Kodaline,2013,187,41,19,-10,8,16,306,17,5,82,"irish pop, modern rock",Sad
